Complaint Type,Date,Time,Latitude,Longitude,Descriptor,Borough
Noise - Residential,9/22/2019,21:13:39,40.70156379,-73.92074274,Loud Talking,Brooklyn
Noise - Residential,9/22/2019,12:10:14,40.75354978,-73.82609052,Banging/Pounding,Queens
Noise - Vehicle,9/22/2019,19:36:56,40.74742033,-73.87685301,Car/Truck Music,Queens
Noise - Street/Sidewalk,9/22/2019,22:44:45,40.85320925,-73.92718067,Loud Music/Party,Manhattan
Noise - Residential,9/23/2019,21:27:41,40.8719757,-73.88736483,Banging/Pounding,Bronx
Noise - Residential,9/22/2019,18:59:46,40.69919546,-73.90664089,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/23/2019,18:30:49,40.81960247,-73.91818872,Loud Music/Party,Bronx
Noise - Park,9/22/2019,17:59:16,40.7786329,-73.9625461,Loud Music/Party,Manhattan
Noise - Residential,11/14/2019,23:50:37,40.86499783,-73.89520399,Banging/Pounding,Bronx
Noise - Residential,9/22/2019,17:42:44,40.79931101,-73.95311841,Loud Music/Party,Manhattan
Noise - Vehicle,9/23/2019,0:38:39,40.84056093,-73.91417301,Car/Truck Music,Bronx
Noise - Residential,9/22/2019,14:29:40,40.79013851,-73.9709757,Banging/Pounding,Manhattan
Noise - Residential,9/22/2019,20:40:08,40.69919546,-73.90664089,Loud Music/Party,Queens
Noise - Commercial,11/12/2019,22:40:24,40.71253774,-73.95793364,Loud Music/Party,Brooklyn
Noise - Vehicle,9/23/2019,18:06:30,40.77250232,-73.80070333,Engine Idling,Queens
Noise - Residential,9/22/2019,23:06:45,40.76399124,-73.87260598,Loud Music/Party,Queens
Noise - Residential,9/22/2019,17:58:54,40.83884773,-73.88246253,Banging/Pounding,Bronx
Noise - Residential,9/23/2019,22:01:17,40.69725221,-73.90337269,Loud Music/Party,Queens
Noise - Residential,9/23/2019,20:45:14,40.77866755,-73.91074678,Loud Music/Party,Queens
Noise - Street/Sidewalk,9/22/2019,20:53:04,40.8197808,-73.95226218,Loud Music/Party,Manhattan
Noise - Street/Sidewalk,9/23/2019,16:45:42,40.85771746,-73.89977037,Loud Music/Party,Bronx
Noise - Vehicle,9/23/2019,8:25:53,40.90004903,-73.84732788,Car/Truck Music,Bronx
Noise - Street/Sidewalk,9/22/2019,20:42:58,40.68130323,-73.941289,Loud Talking,Brooklyn
Noise - Helicopter,9/22/2019,21:35:14,40.71289845,-73.8198047,Other,Queens
Noise - Residential,9/22/2019,22:10:23,40.84345572,-73.92470475,Loud Television,Bronx
