address,status,borough,longitude,latitude,spc_common,spc_latin
40-042 GLEANE ST,Fair,Queens,-73.881397,40.74722,"ash, green",fraxinus pennsylvanica
18 W 33 ST,Good,Manhattan,-73.985578,40.748009,"zelkova, japanese",zelkova serrata
1721 AV O,Poor,Brooklyn,-73.956981,40.613188,planting site,planting site
40-015 31 AV,Good,Queens,-73.916968,40.761263,honeylocust,gleditsia triacanthos
88-005 WOODHAVEN BLVD,Fair,Queens,-73.851436,40.692294,"oak, pin",quercus palustris
221-006 131 AV,Poor,Queens,-73.74624,40.682124,"maple, red",acer rubrum
2901 ALBEMARLE RD,Fair,Brooklyn,-73.950244,40.648104,"oak, pin",quercus palustris
525 PARK AV,Good,Manhattan,-73.96907,40.763914,"pear, callery",pyrus calleryana
122 RADIGAN AV,Good,Staten Island,-74.217197,40.544017,"maple, silver",acer saccharinum
1706 Avenue T,Fair,Brooklyn,-73.954871,40.601304,"maple, silver",acer saccharinum
134-036 176 ST,Good,Queens,-73.76561,40.674434,"maple, norway",acer platanoides
62-002 MOUNT OLIVER CRES,Fair,Queens,-73.896256,40.714775,london planetree,platanus acerifolia
407 W 44 ST,Poor,Manhattan,-73.991894,40.759819,london planetree,platanus acerifolia
465 E 18 ST,Poor,Brooklyn,-73.961232,40.639719,"pear, callery",pyrus calleryana
103-017 35 AV,Fair,Queens,-73.864978,40.754736,"linden, little leaf",tilia cordata
82-046 PETTIT PL,Good,Queens,-73.882897,40.744805,"maple, norway",acer platanoides
375 PARK AV,Good,Manhattan,-73.972797,40.758807,"elm, american",ulmus americana
3349 PERRY AV,Good,Bronx,-73.874567,40.878481,japanese pagoda tree,sophora japonica
1280 E 100 ST,Fair,Brooklyn,-73.891393,40.638934,london planetree,platanus acerifolia
97-010 69 AV,Fair,Queens,-73.851776,40.717524,"maple, sugar",acer saccharum
150-015 78 RD,Fair,Queens,-73.813409,40.720724,"oak, pin",quercus palustris
384 VINELAND AV,Fair,Staten Island,-74.190977,40.544965,"pear, callery",pyrus calleryana
836 E 147 ST,Fair,Bronx,-73.905934,40.810636,"pear, callery",pyrus calleryana
101-010 157 AV,Fair,Queens,-73.833167,40.663597,"maple, norway",acer platanoides
48-033 188 ST,Fair,Queens,-73.790129,40.748102,"linden, little leaf",tilia cordata
243-011 ALAMEDA AV,Poor,Queens,-73.742115,40.764277,"maple, norway",acer platanoides
125 BUTLER ST,Good,Brooklyn,-73.990244,40.683417,"ash, green",fraxinus pennsylvanica
5730 AMBOY RD,Good,Staten Island,-74.199744,40.527918,"ash, green",fraxinus pennsylvanica
2424 BOSTON RD,Fair,Bronx,-73.866594,40.861617,london planetree,platanus acerifolia
8101 10 AV,Fair,Brooklyn,-74.01758,40.62089,"pine, other",pinus species
3239 CLEARVIEW EXWY,Poor,Queens,-73.790574,40.787987,"maple, norway",acer platanoides
76 HART BLVD,Fair,Staten Island,-74.100686,40.633744,london planetree,platanus acerifolia
1409 LELAND AV,Poor,Bronx,-73.864152,40.835658,"maple, sugar",acer saccharum
60-012 56 AV,Fair,Queens,-73.90592,40.725187,"maple, norway",acer platanoides
107-041 111 ST,Fair,Queens,-73.829586,40.681584,"ash, green",fraxinus pennsylvanica
1036 PARK AV,Fair,Manhattan,-73.957253,40.780108,"linden, little leaf",tilia cordata
112-014 107 AV,Fair,Queens,-73.828971,40.682761,"maple, norway",acer platanoides
121-065 235 ST,Fair,Queens,-73.731015,40.683286,"ash, green",fraxinus pennsylvanica
88 E 39 ST,Poor,Brooklyn,-73.941409,40.655446,"maple, norway",acer platanoides
790 11 AV,Fair,Manhattan,-73.992467,40.768844,honeylocust,gleditsia triacanthos
163 RYE AV,Good,Staten Island,-74.174704,40.546345,"oak, northern red",quercus rubra
257-017 149 AV,Good,Queens,-73.731639,40.652922,ginkgo,ginkgo biloba
61-012 231 ST,Fair,Queens,-73.747431,40.750942,"oak, northern red",quercus rubra
96 CRANFORD ST,Fair,Staten Island,-74.138888,40.55167,"linden, little leaf",tilia cordata
140-035 BURDEN CRES,Fair,Queens,-73.815875,40.711291,"oak, pin",quercus palustris
934 CALHOUN AV,Good,Bronx,-73.827411,40.829313,"maple, sugar",acer saccharum
219-007 130 DR,Fair,Queens,-73.748027,40.683481,"maple, sugar",acer saccharum
141-020 GRAND CENTRAL PKWY,Fair,Queens,-73.817094,40.715675,"maple, norway",acer platanoides
225-028 111 AV,Fair,Queens,-73.731307,40.706029,"maple, silver",acer saccharinum
248 W 137 ST,Good,Manhattan,-73.944149,40.817188,honeylocust,gleditsia triacanthos
210 BIDWELL AV,Fair,Staten Island,-74.136814,40.618754,london planetree,platanus acerifolia
506 W 177 ST,Fair,Manhattan,-73.932995,40.845633,"pear, callery",pyrus calleryana
479 E 29 ST,Fair,Brooklyn,-73.94928,40.638987,london planetree,platanus acerifolia
20 BARLOW AV,Good,Staten Island,-74.14847,40.561681,sweetgum,liquidambar styraciflua
34-041 77 ST,Fair,Queens,-73.889539,40.752444,"linden, little leaf",tilia cordata
207 E 59 ST,Poor,Brooklyn,-73.921421,40.649089,"maple, silver",acer saccharinum
305 E 55 ST,Fair,Manhattan,-73.96611,40.757953,honeylocust,gleditsia triacanthos
990 SHEFFIELD AV,Fair,Brooklyn,-73.887921,40.653482,london planetree,platanus acerifolia
262 SANILAC ST,Good,Staten Island,-74.102038,40.575021,"maple, norway",acer platanoides
103-055 100 ST,Fair,Queens,-73.840685,40.68217,tree of heaven,ailanthus altissima
23 ELKHART ST,Good,Staten Island,-74.151588,40.564483,honeylocust,gleditsia triacanthos
1037 WILLOW BROOK RD,Poor,Staten Island,-74.138575,40.603207,planting site,planting site
157-004 27 AV,Fair,Queens,-73.806827,40.772981,"pear, callery",pyrus calleryana
61-027 59 DR,Fair,Queens,-73.90283,40.717919,london planetree,platanus acerifolia
1755 UTICA AV,Fair,Brooklyn,-73.928006,40.629484,london planetree,platanus acerifolia
110-020 15 AV,Poor,Queens,-73.856368,40.783822,planting site,planting site
157-058 24 AV,Good,Queens,-73.804843,40.776411,"cherry, cornelian",cornus mas
1643 AMSTERDAM AV,Good,Manhattan,-73.949336,40.822864,honeylocust,gleditsia triacanthos
1343 E 89 ST,Poor,Brooklyn,-73.898663,40.632482,"maple, norway",acer platanoides
144-021 LIBERTY AV,Poor,Queens,-73.808712,40.69272,"pear, callery",pyrus calleryana
1471 43 ST,Fair,Brooklyn,-73.984863,40.636115,"linden, little leaf",tilia cordata
160-018 12 AV,Fair,Queens,-73.801493,40.791125,"maple, norway",acer platanoides
33 LEE AV,Fair,Brooklyn,-73.961107,40.706768,london planetree,platanus acerifolia
169-012 65 AV,Good,Queens,-73.800002,40.736593,honeylocust,gleditsia triacanthos
89 6 AV,Fair,Brooklyn,-73.975191,40.679518,"oak, pin",quercus palustris
1188 GRAND CONCOURSE,Fair,Bronx,-73.918509,40.833674,"pear, callery",pyrus calleryana
199-001 116 AV,Poor,Queens,-73.753746,40.695723,"maple, norway",acer platanoides
610 E 133 ST,Poor,Bronx,-73.918376,40.802988,"maple, sugar",acer saccharum
21 HILLSIDE AV,Fair,Staten Island,-74.093357,40.617515,"maple, red",acer rubrum
4112 FT HAMILTON PKWY,Poor,Brooklyn,-73.992024,40.642141,honeylocust,gleditsia triacanthos
80-067 249 ST,Fair,Queens,-73.72064,40.741433,"maple, norway",acer platanoides
84-009 TALBOT ST,Poor,Queens,-73.827643,40.708606,"maple, norway",acer platanoides
2 PIERREPONT ST,Fair,Brooklyn,-73.997062,40.696351,"maple, sugar",acer saccharum
154-001 71 AV,Good,Queens,-73.815003,40.730165,"pear, callery",pyrus calleryana
1801 TOMLINSON AV,Fair,Bronx,-73.852266,40.849939,"maple, red",acer rubrum
253-019 57 AV,Fair,Queens,-73.727191,40.762283,london planetree,platanus acerifolia
194-019 56 AV,Poor,Queens,-73.783623,40.745477,"maple, norway",acer platanoides
243 SHARROTT AV,Fair,Staten Island,-74.212478,40.517512,"pear, callery",pyrus calleryana
140 B 94 ST,Poor,Queens,-73.87647,40.771551,planting site,planting site
876 TROY AV,Fair,Brooklyn,-73.936201,40.651704,"linden, little leaf",tilia cordata
1701 BATHGATE AV,Fair,Bronx,-73.899792,40.841931,honeylocust,gleditsia triacanthos
455 E 19 ST,Fair,Brooklyn,-73.960276,40.639751,tulip tree,liriodendron tulipifera
80 BYRNE AV,Good,Staten Island,-74.134155,40.612952,"oak, pin",quercus palustris
58-009 QUEENS BLVD,Fair,Queens,-73.907394,40.741849,london planetree,platanus acerifolia
180 E 93 ST,Good,Manhattan,-73.951281,40.78349,london planetree,platanus acerifolia
63 PILOT ST,Fair,Bronx,-73.785989,40.840953,"ash, green",fraxinus pennsylvanica
191 RAMONA AV,Good,Staten Island,-74.192098,40.540088,sweetgum,liquidambar styraciflua
711 E 82 ST,Fair,Brooklyn,-73.913353,40.637868,"maple, red",acer rubrum
120-002 235 ST,Fair,Queens,-73.729633,40.686191,"maple, norway",acer platanoides
747 BLOOMINGDALE RD,Fair,Staten Island,-74.218851,40.543995,"pear, callery",pyrus calleryana
131-050 134 ST,Fair,Queens,-73.804642,40.669728,london planetree,platanus acerifolia
123-041 146 ST,Fair,Queens,-73.791968,40.674689,"maple, norway",acer platanoides
