address,status,spc_latin,spc_common,boroname,latitude,longitude
1391 EAST   14 STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.6159444,-73.96058069
320 EAST  237 STREET,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.89901909,-73.86675491
235-52 147 DRIVE,Fair,acer platanoides,"maple, norway",Queens,40.65619574,-73.74645234
131-17 15 AVENUE,Fair,prunus species,"cherry, other",Queens,40.78464651,-73.83652826
100-02 75 AVENUE,Poor,acer rubrum,"maple, red",Queens,40.70947819,-73.84408165
1275 EAST   84 STREET,Poor,platanus acerifolia,london planetree,Brooklyn,40.63137219,-73.90364821
332 EAST   29 STREET,Fair,fraxinus pennsylvanica,"ash, green",Manhattan,40.74125879,-73.97727611
171-24 109 AVENUE,Poor,acer platanoides,"maple, norway",Queens,40.69770144,-73.78363454
2201 BROADWAY,Fair,tilia cordata,"linden, little leaf",Manhattan,40.78326765,-73.98041053
1163 YORK AVENUE,Good,zelkova serrata,"zelkova, japanese",Manhattan,40.76093324,-73.95807635
1737 YORK AVENUE,Good,gleditsia triacanthos,honeylocust,Manhattan,40.77876035,-73.94506654
57 3 STREET,Fair,ginkgo biloba,ginkgo,Brooklyn,40.67806272,-73.99417029
2170 EAST  130 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.80892534,-73.93838544
490 WEST END AVENUE,Good,pyrus calleryana,"pear, callery",Manhattan,40.78730765,-73.97899376
171-11 32 AVENUE,Good,pyrus calleryana,"pear, callery",Queens,40.76864769,-73.79391329
64-80 ALDERTON STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.72108074,-73.85932907
40 RAILY COURT,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.5528281,-74.2013583
1726 HART STREET,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.70718547,-73.91747547
1051 ATLANTIC AVENUE,Good,gleditsia triacanthos,honeylocust,Brooklyn,40.6795507,-73.95690169
267 BENNETT AVENUE,Fair,fraxinus pennsylvanica,"ash, green",Staten Island,40.5361255,-74.18528779
101 WILSON TERRACE,Fair,ulmus americana,"elm, american",Staten Island,40.60430415,-74.09501266
82-53 248 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.73781978,-73.72029033
42-18 31 AVENUE,Poor,acer rubrum,"maple, red",Queens,40.76045958,-73.91528695
7214 73 STREET,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.61751179,-73.99968771
1520 EAST   51 STREET,Poor,acer platanoides,"maple, norway",Brooklyn,40.6231491,-73.92632576
1749 GRAND AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.84971924,-73.91317802
3720 INDEPENDENCE AVENUE,Poor,platanus acerifolia,london planetree,Bronx,40.8885072,-73.9130695
251-45 VAN ZANDT AVENUE,Good,quercus palustris,"oak, pin",Queens,40.7655286,-73.73203287
462 HEGEMAN AVENUE,Fair,prunus species,"cherry, other",Brooklyn,40.65872961,-73.89442153
78-20 24 AVENUE,Fair,platanus acerifolia,london planetree,Queens,40.76450367,-73.89051757
80-64 266 STREET,Fair,acer platanoides,"maple, norway",Queens,40.74487189,-73.705208
350 EAST   91 STREET,Poor,fraxinus pennsylvanica,"ash, green",Manhattan,40.78054863,-73.94822453
138-34 247 STREET,Fair,acer ginnala,"maple, amur",Queens,40.66509894,-73.73153879
991 FOX STREET,Good,tilia cordata,"linden, little leaf",Bronx,40.82249478,-73.89390156
122-11 13 AVENUE,Good,platanus acerifolia,london planetree,Queens,40.79806949,-73.84536942
419 1 STREET,Fair,platanus acerifolia,london planetree,Brooklyn,40.67230511,-73.978756
115-01 130 STREET,Good,platanus acerifolia,london planetree,Queens,40.67926293,-73.81061905
45-08 41 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.74356309,-73.92337773
156 DRIGGS AVENUE,Fair,tilia cordata,"linden, little leaf",Brooklyn,40.72304179,-73.94470119
139-20 222 STREET,Poor,pinus strobus,"pine, eastern white",Queens,40.67176999,-73.75162751
215-16 111 AVENUE,Fair,zelkova serrata,"zelkova, japanese",Queens,40.70724665,-73.74181451
109-18 SUTPHIN BOULEVARD,Poor,gleditsia triacanthos,honeylocust,Queens,40.69144737,-73.79792378
46 MONTEREY AVENUE,Fair,pyrus calleryana,"pear, callery",Staten Island,40.55549014,-74.17480462
215 OCEAN AVENUE,Fair,ulmus americana,"elm, american",Brooklyn,40.65769595,-73.96234729
125 VAN CORTLANDT AVENUE,Good,acer campestre,"maple, hedge",Staten Island,40.61566311,-74.10030201
24 WEST   94 STREET,Fair,ulmus parvifolia,"elm, chinese",Manhattan,40.79073013,-73.96651902
109-12 212 STREET,Poor,acer platanoides,"maple, norway",Queens,40.70892939,-73.74560251
2856 EAST  194 STREET,Fair,platanus acerifolia,london planetree,Bronx,40.8524849,-73.83256608
487 EAST  168 STREET,Fair,gleditsia triacanthos,honeylocust,Bronx,40.83130256,-73.90656393
102 WEST   79 STREET,Good,styphnolobium japonicum,japanese pagoda tree,Manhattan,40.78214147,-73.97595501
109 WAINWRIGHT AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.55866807,-74.171538
640 FT WASHINGTON AVENUE,Good,ulmus parvifolia,"elm, chinese",Manhattan,40.85608285,-73.93634857
154-06 JEWEL AVENUE,Good,quercus palustris,"oak, pin",Queens,40.73201563,-73.81457525
664 FR CAPODANNO BOULEVARD,Fair,crataegus species,"hawthorn, other",Staten Island,40.5806854,-74.0762374
144-20 225 STREET,Fair,gleditsia triacanthos,honeylocust,Queens,40.66418679,-73.75320569
76-02 170 STREET,Good,quercus palustris,"oak, pin",Queens,40.72616252,-73.79909209
139-19 109 AVENUE,Fair,ulmus americana,"elm, american",Queens,40.68756729,-73.8065101
8403 COMMONWEALTH BOULEVARD,Fair,pyrus calleryana,"pear, callery",Queens,40.73431816,-73.72171588
26-11 CLEARVIEW EXPRESSWAY SR EAST,Fair,platanus acerifolia,london planetree,Queens,40.77604045,-73.78405519
78-43 147 STREET,Good,tilia cordata,"linden, little leaf",Queens,40.71975418,-73.81591529
1393 WILLOUGHBY AVENUE,Fair,gleditsia triacanthos,honeylocust,Brooklyn,40.70729963,-73.91975846
211-03 33 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.77156419,-73.77707287
2704 BEDFORD AVENUE,Good,fraxinus pennsylvanica,"ash, green",Brooklyn,40.63689279,-73.95364327
1488 STADIUM AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.84381249,-73.82037533
209-19 34 AVENUE,Fair,acer platanoides,"maple, norway",Queens,40.76915344,-73.77947811
87-03 157 AVENUE,Fair,pyrus calleryana,"pear, callery",Queens,40.6617466,-73.84616121
134 PENNYFIELD AVENUE,Fair,acer platanoides,"maple, norway",Bronx,40.81166396,-73.8053907
761 JACKSON AVENUE,Fair,zelkova serrata,"zelkova, japanese",Bronx,40.81884996,-73.90679818
200 CHAMBERS STREET,Fair,gleditsia triacanthos,honeylocust,Manhattan,40.71686225,-74.01220732
147-02 NEWPORT AVENUE,Fair,styphnolobium japonicum,japanese pagoda tree,Queens,40.57305224,-73.8643743
337 OAKLAND AVENUE,Good,pyrus calleryana,"pear, callery",Staten Island,40.63397201,-74.11101208
119-16 153 STREET,Fair,ginkgo biloba,ginkgo,Queens,40.67880822,-73.78905695
43-15 202 STREET,Fair,fraxinus pennsylvanica,"ash, green",Queens,40.75826588,-73.78137311
215 ROSS STREET,Fair,fraxinus pennsylvanica,"ash, green",Brooklyn,40.70650241,-73.95917819
117-40 231 STREET,Poor,acer platanoides,"maple, norway",Queens,40.69131317,-73.73101134
38 ROANOKE STREET,Good,quercus palustris,"oak, pin",Staten Island,40.59746644,-74.13399366
201 EAST   37 STREET,Fair,pyrus calleryana,"pear, callery",Manhattan,40.74757981,-73.97659906
131-53 231 STREET,Fair,tilia americana,"linden, american",Queens,40.6786185,-73.73693199
84-35 127 STREET,Fair,pyrus calleryana,"pear, callery",Queens,40.70691458,-73.82498586
39-55 GREENPOINT AVENUE,Fair,gleditsia triacanthos,honeylocust,Queens,40.73914027,-73.92600625
5724 KINGS HIGHWAY,Fair,acer platanoides,"maple, norway",Brooklyn,40.6515611,-73.9232023
4427 ELY AVENUE,Fair,platanus acerifolia,london planetree,Bronx,40.8994419,-73.84902216
28-50 211 STREET,Fair,tilia cordata,"linden, little leaf",Queens,40.77540324,-73.7780493
247-17 88 DRIVE,Fair,zelkova serrata,"zelkova, japanese",Queens,40.7279309,-73.72050502
