status,spc_latin,spc_common,address,borough,latitude,longitude
Good,pyrus calleryana,callery pear,3-024 BEACH 13 STREET,Queens,40.59814997,-73.74702946
Good,fraxinus pennsylvanica,green ash,2875 WEST 5 STREET,Brooklyn,40.57929415,-73.9721004
Good,acer platanoides,norway maple,450 RICHMOND HILL ROAD,Staten Island,40.5817523,-74.15481147
Fair,ulmus americana,american elm,464 EASTERN PARKWAY,Brooklyn,40.66980729,-73.95290802
Fair,prunus,cherry,416 QUENTIN ROAD,Brooklyn,40.60675927,-73.97052212
Good,platanus x acerifolia,london planetree,1545 EAST 21 STREET,Brooklyn,40.61534777,-73.95330667
Good,platanus x acerifolia,london planetree,475 EAST 57 STREET,Brooklyn,40.64352406,-73.92281117
Good,gleditsia triacanthos var. inermis,honeylocust,119-024 227 STREET,Queens,40.68937051,-73.7361108
Poor,prunus,cherry,47 ROSWELL AVENUE,Staten Island,40.59028933,-74.19012021
Good,ulmus parvifolia,chinese elm,860 RIVER AVENUE,Bronx,40.82784265,-73.92688825
Good,zelkova serrata,japanese zelkova,73 SEIGEL STREET,Brooklyn,40.70437998,-73.94413398
Good,tilia cordata,littleleaf linden,1747 57 STREET,Brooklyn,40.62436308,-73.98646337
Good,pyrus calleryana,callery pear,1014 EAST 24 STREET,Brooklyn,40.62574204,-73.95256574
Fair,ulmus americana,american elm,1299 CONEY ISLAND AVENUE,Brooklyn,40.62602053,-73.96527677
Good,acer rubrum,red maple,60-035 76 STREET,Queens,40.72378814,-73.88385937
Good,zelkova serrata,japanese zelkova,6 SMYRNA AVENUE,Staten Island,40.55199813,-74.1784178
Good,zelkova serrata,japanese zelkova,85-064 144 STREET,Queens,40.70866419,-73.8124383
Fair,gleditsia triacanthos var. inermis,honeylocust,523 EAST 78 STREET,Manhattan,40.77017025,-73.94954651
Good,tilia americana,american linden,56-028 185 STREET,Queens,40.74265369,-73.79064091
Good,prunus,cherry,660 RICHMOND ROAD,Staten Island,40.6104849,-74.08901404
Good,pyrus calleryana,callery pear,369 CROWN AVENUE,Staten Island,40.5458713,-74.19060857
Good,quercus palustris,pin oak,109-031 46 AVENUE,Queens,40.74793642,-73.85442002
Fair,ulmus americana,american elm,615 OAKLAND AVENUE,Staten Island,40.62629758,-74.1092778
Good,tilia americana,american linden,29-020 202 STREET,Queens,40.77094479,-73.78799769
Good,ulmus americana,american elm,34 MORNINGSIDE DRIVE,Manhattan,40.80455355,-73.96021091
Good,gleditsia triacanthos var. inermis,honeylocust,1251 PACIFIC STREET,Brooklyn,40.67777419,-73.95113181
Good,maackia amurensis,amur maackia,4618 CHURCH AVENUE,Brooklyn,40.65151461,-73.9336372
Good,tilia tomentosa,silver linden,80-003 214 STREET,Queens,40.73373018,-73.75706894
Good,platanus x acerifolia,london planetree,521 47 STREET,Brooklyn,40.64647076,-74.00795668
Fair,fraxinus pennsylvanica,green ash,105-028 DITMARS BOULEVARD,Queens,40.76622301,-73.86468531
Fair,gleditsia triacanthos var. inermis,honeylocust,401 DR M L KING JR BOULEVARD,Manhattan,40.81120949,-73.95439974
Good,gleditsia triacanthos var. inermis,honeylocust,56-051 141 STREET,Queens,40.74631351,-73.82426107
Good,gleditsia triacanthos var. inermis,honeylocust,2320 POWELL AVENUE,Bronx,40.83168348,-73.84692438
Good,acer platanoides,norway maple,110-031 194 STREET,Queens,40.70322802,-73.76245728
Good,liquidambar styraciflua,sweetgum,220 BEACH AVENUE,Staten Island,40.56958351,-74.1171672
Good,quercus palustris,pin oak,426 RODNEY STREET,Brooklyn,40.7121991,-73.95400168
Good,platanus x acerifolia,london planetree,90-027 170 STREET,Queens,40.70790703,-73.79024779
Good,juniperus virginiana,eastern redcedar,7800 SHORE FRONT PARKWAY,Queens,40.58709321,-73.80424141
Good,zelkova serrata,japanese zelkova,364 SOUTH 1 STREET,Brooklyn,40.71040221,-73.95230961
Poor,quercus palustris,pin oak,90-005 56 AVENUE,Queens,40.7354334,-73.87246076
Good,acer,maple,1183 FR CAPODANNO BOULEVARD,Staten Island,40.56919974,-74.09193642
Good,quercus palustris,pin oak,115-054 FRANCIS LEWIS BOULEVARD,Queens,40.69811353,-73.74696442
Good,quercus palustris,pin oak,1238 EAST 32 STREET,Brooklyn,40.62124088,-73.94392543
Fair,pyrus calleryana,callery pear,1264 2 AVENUE,Manhattan,40.76521716,-73.96083474
Good,platanus x acerifolia,london planetree,64 OLIVER PLACE,Staten Island,40.61180557,-74.16659702
Good,acer platanoides,norway maple,73-003 186 STREET,Queens,40.73241351,-73.78465244
